Title,Artist,Year,Link
Dress,Pierre Cardin,1969,http://www.metmuseum.org/art/collection/search/811167
Sweater,Malcolm McLaren|Vivienne Westwood,1983,http://www.metmuseum.org/art/collection/search/811168
Dress,Malcolm McLaren|Vivienne Westwood,1983,http://www.metmuseum.org/art/collection/search/811170
Ensemble,Vivienne Westwood|Malcolm McLaren,1983,http://www.metmuseum.org/art/collection/search/811171
Grotesque Borders for Rooms & Halls,"Thomas Rowlandson|Rudolph Ackermann, London|George Moutard Woodward",1800,http://www.metmuseum.org/art/collection/search/811174
"Grotesque Borders for Screens, Billiard Rooms, Dressing Rooms, &c &c","Thomas Rowlandson|George Moutard Woodward|Rudolph Ackermann, London",1799,http://www.metmuseum.org/art/collection/search/811176
The ornamental arts of Japan,Charles Scribner's Sons|George Ashdown Audsley,1883,http://www.metmuseum.org/art/collection/search/811180
"Architecture arabe : ou, Monuments du Kaire, mesurés et dessinés, de 1818 à 1826",Firmin Didot Freres|Pascal Coste,1839,http://www.metmuseum.org/art/collection/search/811182
"Art by telephone : an exhibition organized by the Museum of Contemporary Art under the sponsorship of the American National Bank and Trust Company of Chicago, November 1 to December 14, 1969","Museum of Contemporary Art, Chicago|Jan van der Marck",1969,http://www.metmuseum.org/art/collection/search/811186
Grotesque Borders for Rooms & Halls,"Thomas Rowlandson|Rudolph Ackermann, London|George Moutard Woodward",1800,http://www.metmuseum.org/art/collection/search/811191
"Indigo Extraction 1, Tamil Nadu",Briana Blasko,1985,http://www.metmuseum.org/art/collection/search/811201
"Indigo Extraction 4, Tamil Nadu",Briana Blasko,1985,http://www.metmuseum.org/art/collection/search/811202
"Indigo Extraction 3, Tamil Nadu",Briana Blasko,1985,http://www.metmuseum.org/art/collection/search/811203
"Caretaker with Child (Wärterin mit Kind), from 9 Lithographs",Bruno Cassirer|Max Liebermann,1926,http://www.metmuseum.org/art/collection/search/811204
Directions to Footmen,Thomas Tegg|Thomas Rowlandson,1807,http://www.metmuseum.org/art/collection/search/811205
"The Concert (Das Konzert), from 9 Lithographs",Max Liebermann|Bruno Cassirer,1926,http://www.metmuseum.org/art/collection/search/811206
"Avenue (Allee), from 9 Lithographs",Bruno Cassirer|Max Liebermann,1926,http://www.metmuseum.org/art/collection/search/811207
"Portrait of Karl Scheffler, from 9 Lithographs",Bruno Cassirer|Max Liebermann,1926,http://www.metmuseum.org/art/collection/search/811208
"Head of a Woman (Frauenkopf), from 9 Lithographs",Bruno Cassirer|Max Liebermann,1926,http://www.metmuseum.org/art/collection/search/811210
"Love Scene (Liebeszene), from 9 Lithographs",Max Liebermann|Bruno Cassirer,1926,http://www.metmuseum.org/art/collection/search/811211
"Comedy in the Country, Tragedy in London",Thomas Tegg|Thomas Rowlandson,1807,http://www.metmuseum.org/art/collection/search/811212
"Bather (Badende), from 9 Lithographs",Bruno Cassirer|Max Liebermann,1926,http://www.metmuseum.org/art/collection/search/811213
"Comedy in the Country, Tragedy in London",Thomas Tegg|Thomas Rowlandson,1807,http://www.metmuseum.org/art/collection/search/811214
"The Successful Fortune Hunter, or Captain Shelalee Leading Miss Marrowfat to the Temple of Hymen",Thomas Rowlandson,1802,http://www.metmuseum.org/art/collection/search/811215
"Portrait of the Artist, from 9 Lithographs",Bruno Cassirer|Max Liebermann,1926,http://www.metmuseum.org/art/collection/search/811216
"The Successful Fortune Hunter, or Captain Shelalee Leading Miss Marrowfat to the Temple of Hymen",Thomas Rowlandson,1802,http://www.metmuseum.org/art/collection/search/811217
"A Catamaran, or an Old Maid's Nursery",Thomas Rowlandson,1803,http://www.metmuseum.org/art/collection/search/811218
"Das Beilager, from Bassompierre",Bruno Cassirer|Johann Wolfgang von Goethe|Max Liebermann,1915,http://www.metmuseum.org/art/collection/search/811219
An Old Maid's Delight,Thomas Rowlandson,1817,http://www.metmuseum.org/art/collection/search/811220
Naked Boy on a Jumping Horse (Nackter Junge Auf Anspringendem Pferd),Max Liebermann,1917,http://www.metmuseum.org/art/collection/search/811221
Recovery from a Dormant Title or a Breeches Maker Become a Lord,Thomas Rowlandson,1805,http://www.metmuseum.org/art/collection/search/811222
Taylor turn'd Lord,Thomas Rowlandson,1812,http://www.metmuseum.org/art/collection/search/811223
"Doctor Botherum, The Montebank",Thomas Rowlandson,1800,http://www.metmuseum.org/art/collection/search/811224
Hearts for the Year 1800,"Rudolph Ackermann, London|Thomas Rowlandson|George Moutard Woodward",1800,http://www.metmuseum.org/art/collection/search/811226
"Young Girl (Junges Mädchen), from The Man of Fifty Years",Max Liebermann|Bruno Cassirer|Johann Wolfgang von Goethe|Oskar Bangemann,1920,http://www.metmuseum.org/art/collection/search/811229
Buonaparte First Consul of France,Thomas Rowlandson|Piercy Roberts|James Gillray|Giuseppe Ceracchi,1800,http://www.metmuseum.org/art/collection/search/811233
"Flavio and Hilarie Sitting Together, Reading from the Same Book (Flavio und Hilarie Zusammensitzend, aus Demselben Buch Lesend), from The Man of Fifty Years",Max Liebermann|Bruno Cassirer|Johann Wolfgang von Goethe|Oskar Bangemann,1920,http://www.metmuseum.org/art/collection/search/811236
Miseries of London: Entering upon any of the bridges of London or any of the passages leading to the Thames being assailed by a group of watermen holding up their hands and bawling out. Oars Sculls. Sculls. Oars. Oars.,Thomas Rowlandson,1807,http://www.metmuseum.org/art/collection/search/811237
"The Majors' Tourist Car (Der Reisewagen des Majors), from The Man of Fifty Years",Max Liebermann|Bruno Cassirer|Johann Wolfgang von Goethe|Oskar Bangemann,1920,http://www.metmuseum.org/art/collection/search/811238
"The Pensive Man Sitting on a Bench in a Park (Der Auf Einer Bank In Der Allee Sitzende Nachdenkliche Mann), from The Man of Fifty Years",Max Liebermann|Johann Wolfgang von Goethe|M. Hönemann|Bruno Cassirer,1920,http://www.metmuseum.org/art/collection/search/811240
"Hilarie and the Mother (Hilarie Und Die Mutter), from The Man of Fifty Years",Johann Wolfgang von Goethe|Bruno Cassirer|M. Hönemann|Max Liebermann,1920,http://www.metmuseum.org/art/collection/search/811241
"A Young Slim Female Figure on the Shore (Eine Junge Schlanke Weibliche Gestalt Am Ufer Eines Gewässers), from The Man of Fifty Years",Johann Wolfgang von Goethe|Bruno Cassirer|Oskar Bangemann|Max Liebermann,1920,http://www.metmuseum.org/art/collection/search/811242
"A White Sergeant giving the Word of Command: ""Why don't you come to bed, you drunken sot?""","Rudolph Ackermann, London|Thomas Rowlandson",1807,http://www.metmuseum.org/art/collection/search/811243
"Departure of the Marshal in the Car (Abreise Des Obermarschalls Im Wagen), from The Man of Fifty Years",Oskar Bangemann|Johann Wolfgang von Goethe|Max Liebermann|Bruno Cassirer,1920,http://www.metmuseum.org/art/collection/search/811244
"The Kneecap (Der Kniefall), from Novelle",Johann Wolfgang von Goethe|Bruno Cassirer|Max Liebermann|Oskar Bangemann,1920,http://www.metmuseum.org/art/collection/search/811245
"A White Sergeant giving the word of command - ""Come to Bed you drunken sot""",Thomas Rowlandson|William McCleary,1807,http://www.metmuseum.org/art/collection/search/811247
Witches in a Hay Loft,"Thomas Rowlandson|Rudolph Ackermann, London|George Moutard Woodward",1807,http://www.metmuseum.org/art/collection/search/811248
"The Lion Lying Behind a Thick Tree Trunk (Der Hinter Einem Dicken Baumstamm Liegende Löwe), from Novelle",Johann Wolfgang von Goethe|Oskar Bangemann|Bruno Cassirer|Max Liebermann,1920,http://www.metmuseum.org/art/collection/search/811249
Witches in a Hay Loft,"Rudolph Ackermann, London|Thomas Rowlandson|George Moutard Woodward",1807,http://www.metmuseum.org/art/collection/search/811250
"The Ghost of My Departed Husband, or Wither my Love ah wither art thou gone",Thomas Rowlandson|George Moutard Woodward|Thomas Tegg,1808,http://www.metmuseum.org/art/collection/search/811251
Portrait of Max Liebermann,Max Liebermann|Oskar Bangemann,1897,http://www.metmuseum.org/art/collection/search/811253
"Outbreak of the Fire at the Fair (Ausbruch Der Feuersbrunst Auf Dem Jahrmarkt), from Novelle",Oskar Bangemann|Max Liebermann|Johann Wolfgang von Goethe|Bruno Cassirer,1920,http://www.metmuseum.org/art/collection/search/811254
Miseries of Bathing,Thomas Tegg|Thomas Rowlandson,1808,http://www.metmuseum.org/art/collection/search/811255
Miseries of Bathing,Thomas Tegg|Thomas Rowlandson,1808,http://www.metmuseum.org/art/collection/search/811256
"From the Desk to the Throne, A New Quick Step by Joseph Bonaparte the Bass By Messers Nappy and Tally","G. Sauley [Farnham]|Joseph Bonaparte|Thomas Rowlandson|Rudolph Ackermann, London",1808,http://www.metmuseum.org/art/collection/search/811257
"From the Desk to the Throne, A New Quick Step by Joseph Bonaparte the Bass By Messers Nappy and Tally","Thomas Rowlandson|Joseph Bonaparte|Rudolph Ackermann, London|G. Sauley [Farnham]",1808,http://www.metmuseum.org/art/collection/search/811258
Volunteer Wit or Not Enough for a Prime,George Moutard Woodward|Thomas Tegg|Thomas Rowlandson,1808,http://www.metmuseum.org/art/collection/search/811259
A Bill of Fare for Bond Street Epicures!!,Thomas Rowlandson|Thomas Tegg|George Moutard Woodward,1808,http://www.metmuseum.org/art/collection/search/811263
A Bill of Fare for Bond Street Epicures!!,Thomas Rowlandson|George Moutard Woodward|Thomas Tegg,1808,http://www.metmuseum.org/art/collection/search/811264
The News Paper,"George Moutard Woodward|Rudolph Ackermann, London|Thomas Rowlandson",1808,http://www.metmuseum.org/art/collection/search/811266
"A Mistake at New Market, or Sport and Piety",George Moutard Woodward|Thomas Tegg|Thomas Rowlandson,1807,http://www.metmuseum.org/art/collection/search/811267
"A Mistake at New Market, or Sport and Piety",Thomas Tegg|George Moutard Woodward|Thomas Rowlandson,1807,http://www.metmuseum.org/art/collection/search/811268
"John Rosedale Mariner, Exhibitor at the Hall of Greenwich Hospital",Thomas Rowlandson,1807,http://www.metmuseum.org/art/collection/search/811271
Venus of Capua,,1800,http://www.metmuseum.org/art/collection/search/811272
The Political House That Jack Built,George Cruikshank|William Hone,1819,http://www.metmuseum.org/art/collection/search/811277
"A Nincompoop, or Hen Peck'd Husband",Thomas Tegg|Thomas Rowlandson,1807,http://www.metmuseum.org/art/collection/search/811278
A Glee,George Moutard Woodward|Thomas Tegg|Thomas Rowlandson,1808,http://www.metmuseum.org/art/collection/search/811279
A Glee,George Moutard Woodward|Thomas Tegg|Thomas Rowlandson,1808,http://www.metmuseum.org/art/collection/search/811280
Preparing for the Race,Thomas Rowlandson,1804,http://www.metmuseum.org/art/collection/search/811281
Refinement of Language,Thomas Rowlandson|Thomas Tegg|George Moutard Woodward,1802,http://www.metmuseum.org/art/collection/search/811282
Refinement of Language,George Moutard Woodward|Thomas Tegg|Thomas Rowlandson,1802,http://www.metmuseum.org/art/collection/search/811283
Female Politicians,George Moutard Woodward|Thomas Rowlandson|Thomas Tegg,1808,http://www.metmuseum.org/art/collection/search/811284
The world is full of the spirit of the Lord (Wisdom of Solomon 1:7),"Anonymous, Netherlandish, 16th century",1565,http://www.metmuseum.org/art/collection/search/811287
The evil world / The time of Esau (2 Esdras 6:9),"Anonymous, Netherlandish, 16th century",1565,http://www.metmuseum.org/art/collection/search/811288
They have become foolhardy and have given themselves over to vanity (Ephesians 4:19),"Anonymous, Netherlandish, 16th century",1565,http://www.metmuseum.org/art/collection/search/811289
Explanation of the Arms and Supporters of Napoleon Bonaparte,"J.B.G. Vogel|Anonymous, British, 19th century",1808,http://www.metmuseum.org/art/collection/search/811290
Rum Characters in a Shrubbery,Thomas Rowlandson|Richard Reeve,1808,http://www.metmuseum.org/art/collection/search/811291
Unititled (Medusa Plate),Vik Muniz|Peter Norton Family Foundation,1999,http://www.metmuseum.org/art/collection/search/811292
Unititled (Wanderer Ashtray),Vik Muniz|Peter Norton Family Foundation,1999,http://www.metmuseum.org/art/collection/search/811293
Rum Characters in a Shrubbery,Thomas Rowlandson,1808,http://www.metmuseum.org/art/collection/search/811294
Downfall of Monopoly in 1800,"Rudolph Ackermann, London|Thomas Rowlandson",1800,http://www.metmuseum.org/art/collection/search/811298
The Pleasures of Margate,"Thomas Rowlandson|Rudolph Ackermann, London",1800,http://www.metmuseum.org/art/collection/search/811300
The Pleasures of Margate,"Thomas Rowlandson|Rudolph Ackermann, London",1800,http://www.metmuseum.org/art/collection/search/811301
Plate 1: Design for a Keyhole Escutcheon,Antoine Jacquard,1615,http://www.metmuseum.org/art/collection/search/811302
Plate 6: Design for a Keyhole Escutcheon,Antoine Jacquard,1615,http://www.metmuseum.org/art/collection/search/811305
Ducking a Scold,Thomas Rowlandson,1803,http://www.metmuseum.org/art/collection/search/811306
Plate 4: Design for a Keyhole Escutcheon,Antoine Jacquard,1615,http://www.metmuseum.org/art/collection/search/811307
Plate 3: Design for a Keyhole Escutcheon,Antoine Jacquard,1615,http://www.metmuseum.org/art/collection/search/811309
Plate 2: Design for a Keyhole Escutcheon,Antoine Jacquard,1615,http://www.metmuseum.org/art/collection/search/811311
Plate 5: Design for a Keyhole Escutcheon,Antoine Jacquard,1615,http://www.metmuseum.org/art/collection/search/811313
Pair of columns,,1600,http://www.metmuseum.org/art/collection/search/811314
Miseries of Human Life,"Rudolph Ackermann, London|Thomas Rowlandson|Nicolaus Heideloff",1807,http://www.metmuseum.org/art/collection/search/811315
Opinions on The Divorce Bill!!,"Thomas Rowlandson|Rudolph Ackermann, London|George Moutard Woodward",1800,http://www.metmuseum.org/art/collection/search/811316
Column,,1400,http://www.metmuseum.org/art/collection/search/811317
The Scotch Ostrich Seeking Cover,"Henry Dundas, 1st Viscount Melville|Thomas Rowlandson",1805,http://www.metmuseum.org/art/collection/search/811321
"Title Page to ""New Grotteßken Buch...""",Christoph Jamnitzer,1610,http://www.metmuseum.org/art/collection/search/811322
The Scotch Ostrich Seeking Cover,"Thomas Rowlandson|Henry Dundas, 1st Viscount Melville",1805,http://www.metmuseum.org/art/collection/search/811323
Hackney Assembly,Thomas Rowlandson,1802,http://www.metmuseum.org/art/collection/search/811324
An Irish Compliment,"Thomas Rowlandson|Rudolph Ackermann, London",1800,http://www.metmuseum.org/art/collection/search/811327
A Maiden Aunt Smelling Fire,Thomas Rowlandson,1806,http://www.metmuseum.org/art/collection/search/811329
A Maiden Aunt Smelling Fire,Thomas Rowlandson,1806,http://www.metmuseum.org/art/collection/search/811330
John Bull Listening to the Quarrels of State Affairs,"Napoléon Bonaparte|Thomas Rowlandson|Henry Addington, 1st Viscount Sidmouth|Rudolph Ackermann, London",1803,http://www.metmuseum.org/art/collection/search/811331
John Bull Listening to the Quarrels of State Affairs,"Napoléon Bonaparte|Rudolph Ackermann, London|Thomas Rowlandson|Henry Addington, 1st Viscount Sidmouth",1803,http://www.metmuseum.org/art/collection/search/811332
La Sultane,J. F. G. Colson|Jacques II Chereau|Louis Michel Halbou,1755,http://www.metmuseum.org/art/collection/search/811334
Portrait of Richard Strauss,Max Liebermann,1919,http://www.metmuseum.org/art/collection/search/811335
Book-plate Ex-libris Haus Markowski,Max Liebermann|Oskar Bangemann,1897,http://www.metmuseum.org/art/collection/search/811336
Le Sultan,Louis Michel Halbou|J. F. G. Colson|François II Chéreau,1755,http://www.metmuseum.org/art/collection/search/811337
"Nurse with Child (Warterin mit Kind), from Jahrbuch der Original Graphik",Wohlgemuth & Lissner|Max Liebermann|Hans Wolfgang Singer,1862,http://www.metmuseum.org/art/collection/search/811339
God appearing to Abraham,Michel Corneille the Younger,1662,http://www.metmuseum.org/art/collection/search/811340
[Unidentified Couple],Unknown,1860,http://www.metmuseum.org/art/collection/search/811341
Mother’s #36 [lipstick],Ishiuchi Miyako,2002,http://www.metmuseum.org/art/collection/search/811342
Mother’s #68 [slippers],Ishiuchi Miyako,2005,http://www.metmuseum.org/art/collection/search/811343
Soirée d'Automne,François-Claudius Compte-Calix|Claude-Régnier Conder|E. Gambart & Co.,1855,http://www.metmuseum.org/art/collection/search/811345
In the Garden (Im Garten),Max Liebermann,1910,http://www.metmuseum.org/art/collection/search/811355
Two Nude Studies,Max Liebermann,1862,http://www.metmuseum.org/art/collection/search/811359
Portrait of Wilhelm Bode,Max Liebermann,1909,http://www.metmuseum.org/art/collection/search/811362
"Self-portrait with Drawing Pad (Selbstporträt, Mit Zeichenblock)",Max Liebermann,1912,http://www.metmuseum.org/art/collection/search/811363
Reading Girl (Lesendes Mädchen),Max Liebermann,1895,http://www.metmuseum.org/art/collection/search/811364
"Landscape at Wannsee (Landschaft am Wannsee), from 9 Lithographs",Bruno Cassirer|Max Liebermann,1926,http://www.metmuseum.org/art/collection/search/811365
Prehistoric Man.,Fernand Cormon,1892,http://www.metmuseum.org/art/collection/search/811366
"Ornament, rosette",,-1295,http://www.metmuseum.org/art/collection/search/811367
"Girl Sketching, from Max Liebermann Etchings",R. Graul|Max Liebermann|Photographische Gesellschaft,1862,http://www.metmuseum.org/art/collection/search/811368
"In the Pasture (Auf Der Weide), from Max Liebermann Etchings",Max Liebermann|Photographische Gesellschaft|R. Graul,1891,http://www.metmuseum.org/art/collection/search/811369
"Bleaching Clothes (Die Bleiche), from Max Liebermann Etchings",R. Graul|Max Liebermann|Photographische Gesellschaft,1892,http://www.metmuseum.org/art/collection/search/811373
Carle Vernet Drawing,Horace Vernet,1813,http://www.metmuseum.org/art/collection/search/811374
The York Magician Transforming a Foot-Boy to a Captain,"Thomas Tegg|Prince Frederick Augustus, Duke of York and Albany|Thomas Rowlandson",1809,http://www.metmuseum.org/art/collection/search/811377
[Tintype Album],Unknown,1850,http://www.metmuseum.org/art/collection/search/811379
"The Old Womans Complaint, or the Greek Alphabet",Thomas Rowlandson|Thomas Tegg,1809,http://www.metmuseum.org/art/collection/search/811383
Scene of Auvergne in 1815,Horace Vernet|Godefroy Engelmann,1813,http://www.metmuseum.org/art/collection/search/811384
"The Old Womans Complaint, or the Greek Alphabet",Thomas Tegg|Thomas Rowlandson,1809,http://www.metmuseum.org/art/collection/search/811387
Death of Margaret of Burgundy Strangled in Prison,Horace Vernet,1815,http://www.metmuseum.org/art/collection/search/811389
Masquerade,Thomas Rowlandson,1811,http://www.metmuseum.org/art/collection/search/811390
Doctor Drainbarrel Conveyed Home in order to Take His Trial for Neglect of Family Duty,Thomas Tegg|Thomas Rowlandson,1810,http://www.metmuseum.org/art/collection/search/811391
Doctor Drainbarrel Conveyed Home in order to Take His Trial for Neglect of Family Duty,Thomas Rowlandson,1810,http://www.metmuseum.org/art/collection/search/811394
A Hitt at Backgammon,Thomas Rowlandson|Thomas Tegg,1810,http://www.metmuseum.org/art/collection/search/811396
Kitchin Stuff,Thomas Tegg|Thomas Rowlandson,1810,http://www.metmuseum.org/art/collection/search/811398
Spit Fires,Thomas Rowlandson|Thomas Tegg,1810,http://www.metmuseum.org/art/collection/search/811401
Spit Fires,Thomas Tegg|Thomas Rowlandson,1810,http://www.metmuseum.org/art/collection/search/811402
An Old Ewe Drest Lamb Fashion,Thomas Rowlandson|Thomas Tegg,1810,http://www.metmuseum.org/art/collection/search/811404
An Old Ewe Drest Lamb Fashion,Thomas Tegg|Thomas Rowlandson,1810,http://www.metmuseum.org/art/collection/search/811405
Merchant of Plaster Figures,Carle (Antoine Charles Horace) Vernet,1817,http://www.metmuseum.org/art/collection/search/811408
Portrait of Carle Vernet sketching horses and riders,Horace Vernet,1813,http://www.metmuseum.org/art/collection/search/811413
Shipwrecked Victim Thrown onto the Shore of Pourville,Horace Vernet,1817,http://www.metmuseum.org/art/collection/search/811414
"Lithograph of the artist's father, Carle Vernet",Horace Vernet|Charles Motte,1812,http://www.metmuseum.org/art/collection/search/811415
The Lancer,Godefroy Engelmann|Horace Vernet,1811,http://www.metmuseum.org/art/collection/search/811418
Wounded Infantryman Being Driven on a Horse by aTraveller,Horace Vernet|F. Delpech,1815,http://www.metmuseum.org/art/collection/search/811425
Cliff of Fécamp,Horace Vernet|Godefroy Engelmann,1815,http://www.metmuseum.org/art/collection/search/811427
Cooking at the Bivouac,F. Delpech|Horace Vernet,1813,http://www.metmuseum.org/art/collection/search/811429
"Plate 1: Ornamental panel illustrating a scene from the History of Abraham and Jacob, where it is announced that by this time next year, Abraham will have a son; from Genesis 18:10",Claes Jansz. Visscher|Hans Janssen,1633,http://www.metmuseum.org/art/collection/search/811430
Cavalry Combat at the Battle of Arques,Horace Vernet,1815,http://www.metmuseum.org/art/collection/search/811431
The Cross of the Sailors–Dieppe,Horace Vernet,1816,http://www.metmuseum.org/art/collection/search/811432
Piece,,1700,http://www.metmuseum.org/art/collection/search/811434
Bracelet,Dreicer & Co.,1920,http://www.metmuseum.org/art/collection/search/811440
River Landscape with Three Bare Willow-Trees at Right and a Long Winding Wooden Bridge at Center Leading to a Village,Augustin Hirschvogel,1546,http://www.metmuseum.org/art/collection/search/811442
"Plate 2: Ornamental panel illustrating a scene from the History of Abraham and Jacob, where Abimelech confronts Abraham; from Genesis 20:9",Hans Janssen|Claes Jansz. Visscher,1633,http://www.metmuseum.org/art/collection/search/811448
"The Blossoming of Aaron's Rod, from Old and New Testaments",Augustin Hirschvogel,1550,http://www.metmuseum.org/art/collection/search/811455
"The Parable of the Husbandman and the Vineyard, from Old and New Testaments",Augustin Hirschvogel,1549,http://www.metmuseum.org/art/collection/search/811458
"The Queen of Sheba and Solomon, from Old and New Testaments",Augustin Hirschvogel,1548,http://www.metmuseum.org/art/collection/search/811461
Soldiers Playing a Game of Cards,Horace Vernet|Charles Philibert de Lasteyrie,1813,http://www.metmuseum.org/art/collection/search/811463
The Aftermath of the Card Game,Charles Philibert de Lasteyrie|Horace Vernet,1813,http://www.metmuseum.org/art/collection/search/811465
Ladies Trading on Their Own Bottom,Thomas Rowlandson,1810,http://www.metmuseum.org/art/collection/search/811467
Henri IV Entering at Aumale,Louis-Jules-Fréderic Villeneuve|Horace Vernet,1817,http://www.metmuseum.org/art/collection/search/811469
Ensemble,Christopher Kane,2018,http://www.metmuseum.org/art/collection/search/811470
"Rural Sports, A Milling Match",Thomas Tegg|Thomas Rowlandson,1811,http://www.metmuseum.org/art/collection/search/811471
"Rural Sports, A Milling Match",Thomas Tegg|Thomas Rowlandson,1811,http://www.metmuseum.org/art/collection/search/811477
Life and Death of the Race Horse,Thomas Tegg|Thomas Rowlandson,1811,http://www.metmuseum.org/art/collection/search/811481
Portrait of General Horace Sebastiani,Horace Vernet,1818,http://www.metmuseum.org/art/collection/search/811490
Rigging Out a Smuggler,Thomas Rowlandson|Thomas Tegg,1810,http://www.metmuseum.org/art/collection/search/811493
Peter Plumb's Diary,Thomas Rowlandson|Thomas Tegg,1810,http://www.metmuseum.org/art/collection/search/811495
"Dying for Love, or Captain Careless, Shot Flying by a Girl of Fifteen who Unexpectedly Popped Her Head out of a Casement",Thomas Rowlandson|Thomas Tegg,1810,http://www.metmuseum.org/art/collection/search/811498
"Dying for Love, or Captain Careless, Shot Flying by a Girl of Fifteen who Unexpectedly Popped Her Head out of a Casement",Thomas Tegg|Thomas Rowlandson,1810,http://www.metmuseum.org/art/collection/search/811501
"Rural Sports, Smock Racing",Thomas Rowlandson|Thomas Tegg,1811,http://www.metmuseum.org/art/collection/search/811505
"Rural Sports, Smock Racing",Thomas Rowlandson|Thomas Tegg,1811,http://www.metmuseum.org/art/collection/search/811507
The Jockey Club or Newmarket Meeting,Thomas Rowlandson|Thomas Tegg,1811,http://www.metmuseum.org/art/collection/search/811508
The Jockey Club or Newmarket Meeting,Thomas Rowlandson|Thomas Tegg,1811,http://www.metmuseum.org/art/collection/search/811512
"Rural Sports, or an Old Mole Catcher in Full Scent",Thomas Tegg|Thomas Rowlandson,1811,http://www.metmuseum.org/art/collection/search/811514
"Rural Sports, or an Old Mole Catcher in Full Scent",Thomas Tegg|Thomas Rowlandson,1811,http://www.metmuseum.org/art/collection/search/811516
The Carrier of Lithographic Stones,Horace Vernet,1813,http://www.metmuseum.org/art/collection/search/811518
"Plate 3: Ornamental panel illustrating a scene from the History of Abraham and Jacob, where on the day that Isaac was weaned, Abraham held a great feast; from Genesis 21:8",Claes Jansz. Visscher|Hans Janssen,1633,http://www.metmuseum.org/art/collection/search/811520
